"Rank";"Symbol";"Instrument";"Annualized return";"Average return";"Median return";"Pattern Start";"Pattern End";"Cal. Days";"Max Profit";"Max Loss";"No. of Winners";"No. of Trades";"Win Ratio";"Std Dev";"Sharpe Ratio";
"88";"WHR";"Whirlpool Corporation";"+106.59%";"+6.10%";"+6.83%";"24 Mar";"23 Apr";"30";"+22.88%";"-3.70%";"7";"10";"70%";"7.85%";"3.37";
"89";"GPN";"Global Payments Inc";"+134.83%";"+5.97%";"+5.02%";"24 Mar";"18 Apr";"25";"+27.84%";"-5.87%";"8";"10";"80%";"8.61%";"3.58";
"90";"PPG";"PPG Industries, Inc";"+138.62%";"+5.83%";"+4.74%";"24 Mar";"17 Apr";"24";"+13.92%";"-2.33%";"9";"10";"90%";"5.84%";"4.71";
"91";"AVY";"Avery Dennison Corporation";"+143.33%";"+3.67%";"+2.91%";"24 Mar";"08 Apr";"15";"+13.90%";"-1.76%";"9";"10";"90%";"4.49%";"5.19";
"92";"CAG";"Conagra Brands, Inc";"+156.65%";"+6.88%";"+3.23%";"24 Mar";"19 Apr";"26";"+27.70%";"+0.02%";"10";"10";"100%";"7.99%";"7.13";
"93";"SPG";"Simon Property Group, Inc";"+140.98%";"+3.63%";"+2.95%";"24 Mar";"08 Apr";"15";"+14.95%";"-2.04%";"9";"10";"90%";"4.49%";"2.67";
"94";"LYB";"LyondellBasell Industries N.V";"+140.00%";"+5.87%";"+4.30%";"24 Mar";"17 Apr";"24";"+15.23%";"-2.60%";"9";"10";"90%";"5.61%";"3.54";
"95";"CVX";"Chevron Corporation";"+134.71%";"+5.72%";"+4.64%";"24 Mar";"17 Apr";"24";"+30.98%";"-2.13%";"7";"10";"70%";"8.78%";"3.90";
"96";"CARR";"Carraro S.p.A";"+139.95%";"+6.62%";"+3.94%";"24 Mar";"20 Apr";"27";"+27.83%";"-6.18%";"6";"8";"75%";"10.07%";"5.07";
"97";"LMT";"Lockheed Martin Corporation";"+145.10%";"+6.02%";"+3.56%";"24 Mar";"17 Apr";"24";"+38.97%";"-4.17%";"9";"10";"90%";"10.68%";"5.46";
"98";"VRTX";"Vertex Pharmaceuticals Incorporated";"+102.20%";"+5.71%";"+6.36%";"24 Mar";"22 Apr";"29";"+30.76%";"-8.34%";"7";"10";"70%";"11.60%";"2.27";
"99";"CBRE";"CBRE Group, Inc";"+125.02%";"+5.19%";"+4.95%";"24 Mar";"16 Apr";"23";"+25.63%";"-4.91%";"7";"10";"70%";"8.44%";"3.27";
"100";"HCA";"HCA Healthcare, Inc";"+143.01%";"+3.66%";"+2.15%";"24 Mar";"08 Apr";"15";"+24.56%";"-1.70%";"7";"10";"70%";"7.12%";"3.52";
"101";"PTC";"PTC Inc";"+111.70%";"+6.31%";"+5.39%";"24 Mar";"23 Apr";"30";"+19.59%";"-7.51%";"8";"10";"80%";"8.47%";"3.37";
"102";"PRU";"Prudential Financial, Inc";"+91.77%";"+5.46%";"+6.88%";"24 Mar";"23 Apr";"30";"+15.24%";"-5.50%";"8";"10";"80%";"7.29%";"2.72";
"103";"TXT";"Textron Inc";"+91.96%";"+5.28%";"+6.89%";"24 Mar";"22 Apr";"29";"+15.80%";"-9.07%";"8";"10";"80%";"7.51%";"2.25";
"104";"LNC";"Lincoln National Corporation";"+114.88%";"+6.44%";"+4.82%";"24 Mar";"23 Apr";"30";"+27.16%";"-5.82%";"7";"10";"70%";"9.29%";"2.48";
"105";"MGM";"MGM Resorts International";"+93.10%";"+5.52%";"+6.44%";"24 Mar";"23 Apr";"30";"+13.14%";"-6.42%";"7";"10";"70%";"6.48%";"2.03";
"106";"CL";"Colgate-Palmolive Company";"+130.83%";"+5.36%";"+3.98%";"24 Mar";"16 Apr";"23";"+19.06%";"+0.54%";"10";"10";"100%";"5.04%";"7.62";
"107";"MRK";"Merck & Co., Inc";"+116.88%";"+4.73%";"+5.00%";"24 Mar";"15 Apr";"22";"+18.86%";"-4.64%";"7";"10";"70%";"6.50%";"4.55";
"108";"BAX";"Baxter International Inc";"+128.88%";"+6.02%";"+4.06%";"24 Mar";"19 Apr";"26";"+27.37%";"-3.07%";"8";"10";"80%";"8.14%";"5.18";
"109";"SWK";"Stanley Black & Decker, Inc";"+94.83%";"+5.59%";"+6.30%";"24 Mar";"23 Apr";"30";"+17.24%";"-8.96%";"9";"10";"90%";"6.82%";"2.63";
"110";"BLK";"BlackRock, Inc";"+122.14%";"+5.80%";"+4.45%";"24 Mar";"19 Apr";"26";"+26.66%";"-4.97%";"8";"10";"80%";"8.97%";"3.70";
"111";"BWA";"BorgWarner Inc";"+119.20%";"+6.61%";"+4.33%";"24 Mar";"23 Apr";"30";"+19.76%";"-2.08%";"8";"10";"80%";"7.73%";"3.32";
"112";"IFF";"International Flavors & Fragrances Inc";"+118.56%";"+6.36%";"+4.43%";"24 Mar";"22 Apr";"29";"+24.03%";"-2.63%";"8";"10";"80%";"7.60%";"4.02";
"113";"SWKS";"Skyworks Solutions, Inc";"+64.30%";"+0.65%";"+0.82%";"24 Mar";"29 Mar";"5";"+4.75%";"-4.45%";"7";"10";"70%";"2.51%";"1.26";
"114";"HII";"Huntington Ingalls Industries, Inc";"+107.81%";"+5.09%";"+5.41%";"24 Mar";"18 Apr";"25";"+16.25%";"-2.87%";"8";"10";"80%";"5.75%";"3.75";
"115";"AMCR.US";"Amcor PLC";"+125.35%";"+3.58%";"+3.28%";"24 Mar";"09 Apr";"16";"+21.81%";"-4.26%";"8";"10";"80%";"6.61%";"9.12";
"116";"T";"at&t Inc";"+113.42%";"+5.06%";"+4.95%";"24 Mar";"17 Apr";"24";"+13.78%";"-1.78%";"9";"10";"90%";"4.90%";"4.81";
"117";"PFE";"Pfizer Inc";"+135.15%";"+3.53%";"+2.09%";"24 Mar";"08 Apr";"15";"+16.50%";"-1.97%";"9";"10";"90%";"5.09%";"5.35";
"118";"INCY";"Incyte Corporation";"+109.33%";"+2.21%";"+2.41%";"24 Mar";"04 Apr";"11";"+26.22%";"-9.34%";"6";"10";"60%";"9.35%";"2.64";
"119";"FRC";"First Republic Bank";"+108.42%";"+6.17%";"+4.88%";"24 Mar";"23 Apr";"30";"+29.45%";"-5.93%";"8";"10";"80%";"10.34%";"2.78";
"120";"WAB";"Westinghouse Air Brake Technologies Corp";"+74.50%";"+4.65%";"+7.30%";"24 Mar";"23 Apr";"30";"+13.19%";"-7.94%";"8";"10";"80%";"7.58%";"2.26";
"121";"TDY";"Teledyne Technologies Incorporated";"+102.78%";"+5.73%";"+5.09%";"24 Mar";"22 Apr";"29";"+17.15%";"-1.11%";"8";"10";"80%";"5.56%";"3.60";
"122";"TAP";"Molson Coors Brewing Company";"+116.37%";"+5.38%";"+4.27%";"24 Mar";"18 Apr";"25";"+16.07%";"-0.92%";"8";"10";"80%";"5.78%";"4.36";
"123";"CRL";"Charles River Laboratories International";"+122.56%";"+3.07%";"+2.40%";"24 Mar";"07 Apr";"14";"+21.08%";"-6.05%";"6";"10";"60%";"8.23%";"3.04";
"124";"DXCM";"DexCom, Inc";"+82.18%";"+5.02%";"+6.50%";"24 Mar";"23 Apr";"30";"+36.34%";"-16.43%";"6";"10";"60%";"15.75%";"2.04";
"125";"RCL";"Royal Caribbean Cruises Ltd";"+119.07%";"+3.23%";"+2.94%";"24 Mar";"08 Apr";"15";"+10.06%";"-3.99%";"7";"10";"70%";"4.56%";"1.49";
"126";"ULTA";"Ulta Beauty, Inc";"+86.06%";"+5.20%";"+6.07%";"24 Mar";"23 Apr";"30";"+18.63%";"-12.88%";"8";"10";"80%";"8.85%";"2.37";
"127";"KMI";"Kinder Morgan, Inc";"+93.78%";"+4.59%";"+5.73%";"24 Mar";"18 Apr";"25";"+14.05%";"-3.68%";"9";"10";"90%";"4.65%";"3.15";
"128";"ZBRA";"Zebra Technologies Corporation";"+98.95%";"+3.02%";"+4.77%";"24 Mar";"09 Apr";"16";"+11.45%";"-4.37%";"6";"10";"60%";"5.78%";"3.00";
"129";"YUM";"YUM! Brands, Inc";"+112.29%";"+6.33%";"+3.92%";"24 Mar";"23 Apr";"30";"+22.90%";"+1.31%";"10";"10";"100%";"5.86%";"3.91";
"130";"BXP";"Boston Properties, Inc";"+121.34%";"+3.72%";"+2.98%";"24 Mar";"10 Apr";"17";"+16.02%";"-4.00%";"8";"10";"80%";"5.42%";"3.89";
"131";"DGX";"Quest Diagnostics Incorporated";"+90.86%";"+5.41%";"+5.41%";"24 Mar";"23 Apr";"30";"+27.94%";"-3.31%";"7";"10";"70%";"8.12%";"2.79";
"132";"AMZN";"Amazon.com, Inc";"+66.56%";"+4.25%";"+7.36%";"24 Mar";"23 Apr";"30";"+23.68%";"-10.74%";"7";"10";"70%";"9.80%";"2.22";
"133";"SHW";"The Sherwin-Williams Company";"+82.50%";"+4.86%";"+6.11%";"24 Mar";"22 Apr";"29";"+11.97%";"-2.00%";"7";"10";"70%";"5.41%";"2.85";
"134";"MO";"Altria Group, Inc";"+127.62%";"+4.56%";"+2.81%";"24 Mar";"13 Apr";"20";"+24.89%";"-2.56%";"9";"10";"90%";"6.97%";"5.27";
"135";"IP";"International Paper Company";"+130.71%";"+4.40%";"+2.48%";"24 Mar";"12 Apr";"19";"+23.29%";"-1.52%";"7";"10";"70%";"6.93%";"4.81";
"136";"STLD";"Steel Dynamics, Inc";"+85.97%";"+5.01%";"+5.70%";"24 Mar";"22 Apr";"29";"+10.80%";"-4.48%";"9";"10";"90%";"4.94%";"2.29";
"137";"BDX";"Becton, Dickinson and Company";"+106.87%";"+5.27%";"+4.30%";"24 Mar";"19 Apr";"26";"+29.87%";"-6.72%";"9";"10";"90%";"9.14%";"4.55";
"138";"KO";"The Coca-Cola Company";"+106.57%";"+5.05%";"+4.32%";"24 Mar";"18 Apr";"25";"+17.95%";"+0.47%";"10";"10";"100%";"4.51%";"4.83";
"139";"SEE";"Sealed Air Corporation";"+109.62%";"+5.37%";"+4.01%";"24 Mar";"19 Apr";"26";"+29.53%";"-4.19%";"8";"10";"80%";"8.85%";"3.47";
"140";"AZO";"AutoZone, Inc";"+90.12%";"+5.38%";"+5.22%";"24 Mar";"23 Apr";"30";"+24.40%";"-6.11%";"7";"10";"70%";"8.84%";"3.23";
"141";"BKR";"Baker Hughes, a GE company";"+87.32%";"+4.35%";"+5.73%";"24 Mar";"18 Apr";"25";"+15.38%";"-9.24%";"7";"10";"70%";"8.93%";"2.18";
"142";"NDSN";"Nordson Corporation";"+104.93%";"+5.82%";"+4.08%";"24 Mar";"22 Apr";"29";"+28.37%";"-2.95%";"9";"10";"90%";"8.22%";"3.62";
"143";"PWR";"Quanta Services, Inc";"+118.39%";"+5.00%";"+3.37%";"24 Mar";"16 Apr";"23";"+18.49%";"-3.49%";"8";"10";"80%";"7.01%";"3.97";
"144";"GIS";"General Mills, Inc";"+112.09%";"+5.45%";"+3.66%";"24 Mar";"19 Apr";"26";"+27.08%";"-1.74%";"8";"10";"80%";"7.57%";"6.27";
